ElectricStorage.size_kw,ElectricStorage.size_kwh,ElectricStorage.initial_capital_cost,ElectricUtility.lifecycle_emissions_tonnes_PM25,ElectricUtility.lifecycle_emissions_tonnes_SO2,ElectricUtility.lifecycle_emissions_tonnes_NOx,ElectricUtility.lifecycle_emissions_tonnes_CO2,ElectricTariff.lifecycle_fixed_cost_after_tax,ElectricTariff.lifecycle_energy_cost_after_tax,Site.total_renewable_energy_fraction,Site.annual_emissions_tonnes_PM25,PV.size_kw,PV.annual_energy_produced_kwh,PV.lcoe_per_kwh,PV.lifecycle_om_cost_after_tax,Financial.lcc,Financial.lifecycle_om_costs_after_tax,Financial.lifecycle_capital_costs_plus_om_after_tax,Financial.lifecycle_emissions_cost_health,Financial.lifecycle_outage_cost,Financial.initial_capital_costs_after_incentives,Financial.lifecycle_storage_capital_costs,Financial.lifecycle_om_costs_before_tax,Financial.lifecycle_emissions_cost_climate,Financial.lifecycle_fuel_costs_after_tax,Financial.lifecycle_capital_costs,Financial.replacements_future_cost_after_tax,Financial.developer_om_and_replacement_present_cost_after_tax
105.08,144.94,109248.0,1.71,18.3,18.3,26922.11,50593.04,1214787.74,0.194933,0.08,339.9593,430417.03,0.0906,171397.0,2937376.5923,171397.2587,476303.4802,48.57,0.0,274920.4407,110030.1897,214246.5734,903050.33,0.0,304906.2215,81673.7156,201383.0394
105.13,145.01,109300.5,1.71,18.31,18.31,26934.84,50593.04,1215362.38,0.194933,0.08,340.1201,430621.13,0.0906,171478.0,2938742.1474,171478.3359,476528.7893,48.59,0.0,275050.4883,110082.238,214347.9199,903477.51,0.0,305050.4534,81712.3502,201478.301
105.18,145.08,109353.0,1.71,18.32,18.32,26947.58,50593.04,1215937.02,0.194933,0.08,340.2809,430824.29,0.0906,171559.0,2940107.7025,171559.4132,476754.0984,48.61,0.0,275180.5358,110134.2864,214449.2664,903904.68,0.0,305194.6853,81750.9849,201573.5626
105.23,145.14,109400.5,1.71,18.33,18.33,26960.32,50593.04,1216511.66,0.194933,0.08,340.4418,431028.4,0.0906,171640.0,2941473.2577,171640.4904,476979.4075,48.63,0.0,275310.5833,110186.3347,214550.613,904331.86,0.0,305338.9171,81789.6196,201668.8242
105.28,145.21,109453.0,1.71,18.34,18.34,26973.05,50593.04,1217086.3,0.194933,0.08,340.6026,431231.56,0.0906,171722.0,2942838.8128,171721.5676,477204.7166,48.66,0.0,275440.6308,110238.383,214651.9595,904759.04,0.0,305483.149,81828.2543,201764.0858
105.33,145.28,109505.5,1.71,18.35,18.35,26985.79,50593.04,1217660.94,0.194933,0.08,340.7634,431435.67,0.0906,171803.0,2944204.368,171802.6448,477430.0258,48.68,0.0,275570.6783,110290.4314,214753.306,905186.21,0.0,305627.3809,81866.889,201859.3475
100.01,137.95,103978.5,1.63,17.42,17.42,25623.12,50593.04,1156174.52,0.194933,0.08,323.5564,409650.04,0.0906,163127.0,2798089.9687,163127.3815,453321.9499,46.22,0.0,261655.5945,104721.2591,203909.2269,859478.37,0.0,290194.5684,77732.9781,191666.3554
105.38,145.35,109558.0,1.72,18.36,18.36,26998.52,50593.04,1218235.58,0.194933,0.08,340.9242,431638.83,0.0906,171884.0,2945569.9231,171883.7221,477655.3349,48.7,0.0,275700.7258,110342.4797,214854.6526,905613.39,0.0,305771.6128,81905.5237,201954.6091
105.43,145.42,109610.5,1.72,18.37,18.37,27011.26,50593.04,1218810.22,0.194933,0.08,341.085,431842.94,0.0906,171965.0,2946935.4782,171964.7993,477880.644,48.73,0.0,275830.7733,110394.5281,214955.9991,906040.57,0.0,305915.8447,81944.1583,202049.8707
105.48,145.49,109663.0,1.72,18.37,18.37,27023.99,50593.04,1219384.86,0.194933,0.08,341.2458,432046.1,0.0906,172046.0,2948301.0334,172045.8765,478105.9531,48.75,0.0,275960.8208,110446.5764,215057.3456,906467.74,0.0,306060.0766,81982.793,202145.1323
105.53,145.56,109715.5,1.72,18.38,18.38,27036.73,50593.04,1219959.5,0.194933,0.08,341.4066,432250.2,0.0906,172127.0,2949666.5885,172126.9537,478331.2622,48.77,0.0,276090.8684,110498.6247,215158.6922,906894.92,0.0,306204.3085,82021.4277,202240.3939
105.58,145.62,109763.0,1.72,18.39,18.39,27049.46,50593.04,1220534.14,0.194933,0.08,341.5674,432453.37,0.0906,172208.0,2951032.1436,172208.031,478556.5714,48.8,0.0,276220.9159,110550.6731,215260.0387,907322.09,0.0,306348.5404,82060.0624,202335.6555
105.63,145.69,109815.5,1.72,18.4,18.4,27062.2,50593.04,1221108.78,0.194933,0.08,341.7283,432656.54,0.0906,172289.0,2952397.6988,172289.1082,478781.8805,48.82,0.0,276350.9634,110602.7214,215361.3852,907749.27,0.0,306492.7723,82098.6971,202430.9171
105.68,145.76,109868.0,1.72,18.41,18.41,27074.93,50593.04,1221683.42,0.194933,0.08,341.8891,432860.64,0.0906,172370.0,2953763.2539,172370.1854,479007.1896,48.84,0.0,276481.0109,110654.7698,215462.7318,908176.45,0.0,306637.0042,82137.3317,202526.1787
105.73,145.83,109920.5,1.72,18.42,18.42,27087.67,50593.04,1222258.06,0.194933,0.08,342.0499,433063.81,0.0906,172451.0,2955128.809,172451.2627,479232.4987,48.86,0.0,276611.0584,110706.8181,215564.0783,908603.62,0.0,306781.2361,82175.9664,202621.4403
105.78,145.9,109973.0,1.72,18.43,18.43,27100.4,50593.04,1222832.7,0.194933,0.08,342.2107,433267.91,0.0906,172532.0,2956494.3642,172532.3399,479457.8078,48.89,0.0,276741.1059,110758.8664,215665.4248,909030.8,0.0,306925.468,82214.6011,202716.7019
105.83,145.97,110025.5,1.72,18.43,18.43,27113.14,50593.04,1223407.34,0.194933,0.08,342.3715,433471.08,0.0906,172613.0,2957859.9193,172613.4171,479683.117,48.91,0.0,276871.1534,110810.9148,215766.7714,909457.97,0.0,307069.6999,82253.2358,202811.9635
100.06,138.01,104026.0,1.63,17.43,17.43,25635.86,50593.04,1156749.16,0.194933,0.08,323.7172,409853.21,0.0906,163208.0,2799455.5238,163208.4587,453547.259,46.25,0.0,261785.642,104773.3074,204010.5734,859905.54,0.0,290338.8003,77771.6128,191761.617
105.88,146.04,110078.0,1.72,18.44,18.44,27125.87,50593.04,1223981.98,0.194933,0.08,342.5323,433675.18,0.0906,172694.0,2959225.4744,172694.4943,479908.4261,48.93,0.0,277001.2009,110862.9631,215868.1179,909885.15,0.0,307213.9318,82291.8705,202907.2251
