ElectricStorage.size_kw,ElectricStorage.size_kwh,ElectricStorage.initial_capital_cost,ElectricUtility.lifecycle_emissions_tonnes_PM25,ElectricUtility.lifecycle_emissions_tonnes_SO2,ElectricUtility.lifecycle_emissions_tonnes_NOx,ElectricUtility.lifecycle_emissions_tonnes_CO2,ElectricTariff.lifecycle_fixed_cost_after_tax,ElectricTariff.lifecycle_energy_cost_after_tax,Site.total_renewable_energy_fraction,Site.annual_emissions_tonnes_PM25,PV.size_kw,PV.annual_energy_produced_kwh,PV.lcoe_per_kwh,PV.lifecycle_om_cost_after_tax,Financial.lcc,Financial.lifecycle_om_costs_after_tax,Financial.lifecycle_capital_costs_plus_om_after_tax,Financial.lifecycle_emissions_cost_health,Financial.lifecycle_outage_cost,Financial.initial_capital_costs_after_incentives,Financial.lifecycle_storage_capital_costs,Financial.lifecycle_om_costs_before_tax,Financial.lifecycle_emissions_cost_climate,Financial.lifecycle_fuel_costs_after_tax,Financial.lifecycle_capital_costs,Financial.replacements_future_cost_after_tax,Financial.developer_om_and_replacement_present_cost_after_tax
100.86,139.11,104856.0,1.64,17.57,17.57,25839.62,50593.04,1165943.39,0.194933,0.08,326.2902,413111.36,0.0906,164506.0,2821304.4059,164505.6944,457152.2049,46.61,0.0,263866.4022,105606.0808,205632.118,866740.36,0.0,292646.5106,78389.7677,193285.8027
113.83,157.0,118340.5,1.85,19.83,19.83,29163.5,50593.04,1315924.28,0.194933,0.09,368.2625,466251.09,0.0906,185667.0,3177714.2958,185666.8507,515957.8853,52.61,0.0,297808.8029,119190.6974,232083.5634,978233.33,0.0,330291.0346,88473.4194,218149.0824
113.88,157.07,118393.0,1.85,19.84,19.84,29176.23,50593.04,1316498.92,0.194933,0.09,368.4233,466455.2,0.0906,185748.0,3179079.8509,185747.9279,516183.1944,52.63,0.0,297938.8504,119242.7458,232184.9099,978660.51,0.0,330435.2665,88512.0541,218244.344
113.93,157.14,118445.5,1.85,19.85,19.85,29188.97,50593.04,1317073.56,0.194933,0.09,368.5841,466658.36,0.0906,185829.0,3180445.406,185829.0052,516408.5036,52.65,0.0,298068.8979,119294.7941,232286.2565,979087.68,0.0,330579.4984,88550.6888,218339.6056
113.98,157.21,118498.0,1.86,19.85,19.85,29201.7,50593.04,1317648.2,0.194933,0.09,368.7449,466862.47,0.0906,185910.0,3181810.9612,185910.0824,516633.8127,52.68,0.0,298198.9454,119346.8425,232387.603,979514.86,0.0,330723.7303,88589.3235,218434.8673
114.03,157.28,118550.5,1.86,19.86,19.86,29214.44,50593.04,1318222.84,0.194933,0.09,368.9057,467065.63,0.0906,185991.0,3183176.5163,185991.1596,516859.1218,52.7,0.0,298328.9929,119398.8908,232488.9495,979942.04,0.0,330867.9622,88627.9581,218530.1289
114.08,157.35,118603.0,1.86,19.87,19.87,29227.17,50593.04,1318797.48,0.194933,0.09,369.0665,467269.73,0.0906,186072.0,3184542.0714,186072.2369,517084.4309,52.72,0.0,298459.0405,119450.9391,232590.2961,980369.21,0.0,331012.1941,88666.5928,218625.3905
114.13,157.42,118655.5,1.86,19.88,19.88,29239.91,50593.04,1319372.12,0.194933,0.09,369.2273,467472.9,0.0906,186153.0,3185907.6266,186153.3141,517309.74,52.75,0.0,298589.088,119502.9875,232691.6426,980796.39,0.0,331156.426,88705.2275,218720.6521
114.18,157.48,118703.0,1.86,19.89,19.89,29252.64,50593.04,1319946.76,0.194933,0.09,369.3881,467677.0,0.0906,186234.0,3187273.1817,186234.3913,517535.0492,52.77,0.0,298719.1355,119555.0358,232792.9891,981223.56,0.0,331300.6579,88743.8622,218815.9137
114.23,157.55,118755.5,1.86,19.9,19.9,29265.38,50593.04,1320521.4,0.194933,0.09,369.549,467880.17,0.0906,186315.0,3188638.7368,186315.4685,517760.3583,52.79,0.0,298849.183,119607.0842,232894.3357,981650.74,0.0,331444.8897,88782.4969,218911.1753
114.28,157.62,118808.0,1.86,19.91,19.91,29278.11,50593.04,1321096.04,0.194933,0.09,369.7098,468084.27,0.0906,186397.0,3190004.292,186396.5458,517985.6674,52.82,0.0,298979.2305,119659.1325,232995.6822,982077.92,0.0,331589.1216,88821.1315,219006.4369
99.56,137.33,103511.0,1.62,17.34,17.34,25508.51,50593.04,1151002.77,0.194933,0.08,322.109,407817.8,0.0906,162398.0,2785799.9725,162397.6865,451294.1678,46.02,0.0,260485.1669,104252.824,202997.1081,855633.78,0.0,288896.4814,77385.266,190809.0009
100.91,139.18,104908.5,1.64,17.58,17.58,25852.36,50593.04,1166518.03,0.194933,0.08,326.451,413314.53,0.0906,164587.0,2822669.9611,164586.7716,457377.5141,46.64,0.0,263996.4497,105658.1292,205733.4645,867167.54,0.0,292790.7425,78428.4024,193381.0643
114.33,157.69,118860.5,1.86,19.92,19.92,29290.85,50593.04,1321670.68,0.194933,0.09,369.8706,468287.44,0.0906,186478.0,3191369.8471,186477.623,518210.9765,52.84,0.0,299109.278,119711.1808,233097.0287,982505.09,0.0,331733.3535,88859.7662,219101.6985
114.38,157.76,118913.0,1.86,19.92,19.92,29303.58,50593.04,1322245.32,0.194933,0.09,370.0314,468491.54,0.0906,186559.0,3192735.4022,186558.7002,518436.2856,52.86,0.0,299239.3255,119763.2292,233198.3753,982932.27,0.0,331877.5854,88898.4009,219196.9601
114.43,157.83,118965.5,1.86,19.93,19.93,29316.32,50593.04,1322819.96,0.194933,0.09,370.1922,468694.71,0.0906,186640.0,3194100.9574,186639.7774,518661.5948,52.88,0.0,299369.373,119815.2775,233299.7218,983359.44,0.0,332021.8173,88937.0356,219292.2217
114.48,157.9,119018.0,1.86,19.94,19.94,29329.05,50593.04,1323394.6,0.194933,0.09,370.353,468898.81,0.0906,186721.0,3195466.5125,186720.8547,518886.9039,52.91,0.0,299499.4205,119867.3258,233401.0683,983786.62,0.0,332166.0492,88975.6703,219387.4833
114.53,157.96,119065.5,1.86,19.95,19.95,29341.79,50593.04,1323969.24,0.194933,0.09,370.5138,469101.98,0.0906,186802.0,3196832.0676,186801.9319,519112.213,52.93,0.0,299629.4681,119919.3742,233502.4149,984213.8,0.0,332310.2811,89014.3049,219482.7449
114.58,158.03,119118.0,1.87,19.96,19.96,29354.52,50593.04,1324543.88,0.194933,0.09,370.6747,469305.14,0.0906,186883.0,3198197.6228,186883.0091,519337.5221,52.95,0.0,299759.5156,119971.4225,233603.7614,984640.97,0.0,332454.513,89052.9396,219578.0066
114.63,158.1,119170.5,1.87,19.97,19.97,29367.26,50593.04,1325118.51,0.194933,0.09,370.8355,469509.25,0.0906,186964.0,3199563.1779,186964.0864,519562.8312,52.98,0.0,299889.5631,120023.4709,233705.1079,985068.15,0.0,332598.7449,89091.5743,219673.2682
114.68,158.17,119223.0,1.87,19.98,19.98,29379.99,50593.04,1325693.15,0.194933,0.09,370.9963,469712.41,0.0906,187045.0,3200928.733,187045.1636,519788.1404,53.0,0.0,300019.6106,120075.5192,233806.4545,985495.32,0.0,332742.9768,89130.209,219768.5298
114.73,158.24,119275.5,1.87,19.98,19.98,29392.73,50593.04,1326267.79,0.194933,0.09,371.1571,469916.52,0.0906,187126.0,3202294.2882,187126.2408,520013.4495,53.02,0.0,300149.6581,120127.5675,233907.801,985922.5,0.0,332887.2087,89168.8437,219863.7914
114.78,158.31,119328.0,1.87,19.99,19.99,29405.46,50593.04,1326842.43,0.194933,0.09,371.3179,470119.68,0.0906,187207.0,3203659.8433,187207.318,520238.7586,53.05,0.0,300279.7056,120179.6159,234009.1475,986349.68,0.0,333031.4406,89207.4784,219959.053
100.96,139.25,104961.0,1.64,17.59,17.59,25865.09,50593.04,1167092.67,0.194933,0.08,326.6118,413518.63,0.0906,164668.0,2824035.5162,164667.8488,457602.8232,46.66,0.0,264126.4972,105710.1775,205834.811,867594.71,0.0,292934.9744,78467.037,193476.3259
114.83,158.38,119380.5,1.87,20.0,20.0,29418.2,50593.04,1327417.07,0.194933,0.09,371.4787,470323.79,0.0906,187288.0,3205025.3984,187288.3953,520464.0677,53.07,0.0,300409.7531,120231.6642,234110.4941,986776.85,0.0,333175.6725,89246.113,220054.3146
114.87,158.44,119424.5,1.87,20.01,20.01,29430.93,50593.04,1327991.71,0.194933,0.09,371.6395,470526.95,0.0906,187369.0,3206390.9536,187369.4725,520689.3768,53.09,0.0,300539.8006,120283.7126,234211.8406,987204.03,0.0,333319.9044,89284.7477,220149.5762
114.92,158.51,119477.0,1.87,20.02,20.02,29443.67,50593.04,1328566.35,0.194933,0.09,371.8003,470731.05,0.0906,187451.0,3207756.5087,187450.5497,520914.686,53.11,0.0,300669.8482,120335.7609,234313.1871,987631.21,0.0,333464.1362,89323.3824,220244.8378
114.97,158.58,119529.5,1.87,20.03,20.03,29456.4,50593.04,1329140.99,0.194933,0.09,371.9612,470934.22,0.0906,187532.0,3209122.0638,187531.6269,521139.9951,53.14,0.0,300799.8957,120387.8092,234414.5337,988058.38,0.0,333608.3681,89362.0171,220340.0994
115.02,158.65,119582.0,1.87,20.04,20.04,29469.14,50593.04,1329715.63,0.194933,0.09,372.122,471138.32,0.0906,187613.0,3210487.619,187612.7042,521365.3042,53.16,0.0,300929.9432,120439.8576,234515.8802,988485.56,0.0,333752.6,89400.6518,220435.361
115.07,158.72,119634.5,1.87,20.05,20.05,29481.88,50593.04,1330290.27,0.194933,0.09,372.2828,471341.49,0.0906,187694.0,3211853.1741,187693.7814,521590.6133,53.18,0.0,301059.9907,120491.9059,234617.2268,988912.73,0.0,333896.8319,89439.2864,220530.6226
115.12,158.79,119687.0,1.87,20.05,20.05,29494.61,50593.04,1330864.91,0.194933,0.09,372.4436,471545.59,0.0906,187775.0,3213218.7292,187774.8586,521815.9224,53.21,0.0,301190.0382,120543.9543,234718.5733,989339.91,0.0,334041.0638,89477.9211,220625.8842
115.17,158.86,119739.5,1.88,20.06,20.06,29507.35,50593.04,1331439.55,0.194933,0.09,372.6044,471748.76,0.0906,187856.0,3214584.2844,187855.9359,522041.2316,53.23,0.0,301320.0857,120596.0026,234819.9198,989767.09,0.0,334185.2957,89516.5558,220721.1459
115.22,158.92,119787.0,1.88,20.07,20.07,29520.08,50593.04,1332014.19,0.194933,0.09,372.7652,471952.86,0.0906,187937.0,3215949.8395,187937.0131,522266.5407,53.25,0.0,301450.1332,120648.0509,234921.2664,990194.26,0.0,334329.5276,89555.1905,220816.4075
115.27,158.99,119839.5,1.88,20.08,20.08,29532.82,50593.04,1332588.83,0.194933,0.09,372.926,472156.03,0.0906,188018.0,3217315.3946,188018.0903,522491.8498,53.28,0.0,301580.1807,120700.0993,235022.6129,990621.44,0.0,334473.7595,89593.8252,220911.6691
101.01,139.32,105013.5,1.64,17.59,17.59,25877.83,50593.04,1167667.31,0.194933,0.08,326.7726,413721.8,0.0906,164749.0,2825401.0713,164748.9261,457828.1323,46.68,0.0,264256.5447,105762.2258,205936.1576,868021.89,0.0,293079.2063,78505.6717,193571.5876
115.32,159.06,119892.0,1.88,20.09,20.09,29545.55,50593.04,1333163.47,0.194933,0.09,373.0869,472359.2,0.0906,188099.0,3218680.9498,188099.1675,522717.1589,53.3,0.0,301710.2283,120752.1476,235123.9594,991048.61,0.0,334617.9914,89632.4598,221006.9307
115.37,159.13,119944.5,1.88,20.1,20.1,29558.29,50593.04,1333738.11,0.194933,0.09,373.2477,472563.3,0.0906,188180.0,3220046.5049,188180.2448,522942.4681,53.32,0.0,301840.2758,120804.196,235225.306,991475.79,0.0,334762.2233,89671.0945,221102.1923
115.42,159.2,119997.0,1.88,20.11,20.11,29571.02,50593.04,1334312.75,0.194933,0.09,373.4085,472766.46,0.0906,188261.0,3221412.06,188261.322,523167.7772,53.34,0.0,301970.3233,120856.2443,235326.6525,991902.97,0.0,334906.4552,89709.7292,221197.4539
115.47,159.27,120049.5,1.88,20.11,20.11,29583.76,50593.04,1334887.38,0.194933,0.09,373.5693,472970.57,0.0906,188342.0,3222777.6152,188342.3992,523393.0863,53.37,0.0,302100.3708,120908.2926,235427.999,992330.14,0.0,335050.6871,89748.3639,221292.7155
115.52,159.34,120102.0,1.88,20.12,20.12,29596.49,50593.04,1335462.02,0.194933,0.09,373.7301,473173.73,0.0906,188423.0,3224143.1703,188423.4764,523618.3954,53.39,0.0,302230.4183,120960.341,235529.3456,992757.32,0.0,335194.919,89786.9986,221387.9771
115.57,159.4,120149.5,1.88,20.13,20.13,29609.23,50593.04,1336036.66,0.194933,0.09,373.8909,473377.84,0.0906,188505.0,3225508.7254,188504.5537,523843.7045,53.41,0.0,302360.4658,121012.3893,235630.6921,993184.49,0.0,335339.1509,89825.6332,221483.2387
115.62,159.47,120202.0,1.88,20.14,20.14,29621.96,50593.04,1336611.3,0.194933,0.09,374.0517,473581.0,0.0906,188586.0,3226874.2806,188585.6309,524069.0137,53.44,0.0,302490.5133,121064.4377,235732.0386,993611.67,0.0,335483.3827,89864.2679,221578.5003
115.67,159.54,120254.5,1.88,20.15,20.15,29634.7,50593.04,1337185.94,0.194933,0.09,374.2125,473785.11,0.0906,188667.0,3228239.8357,188666.7081,524294.3228,53.46,0.0,302620.5608,121116.486,235833.3852,994038.85,0.0,335627.6146,89902.9026,221673.7619
115.72,159.61,120307.0,1.88,20.16,20.16,29647.43,50593.04,1337760.58,0.194933,0.09,374.3734,473988.27,0.0906,188748.0,3229605.3908,188747.7854,524519.6319,53.48,0.0,302750.6084,121168.5343,235934.7317,994466.02,0.0,335771.8465,89941.5373,221769.0235
115.77,159.68,120359.5,1.88,20.17,20.17,29660.17,50593.04,1338335.22,0.194933,0.09,374.5342,474192.37,0.0906,188829.0,3230970.946,188828.8626,524744.941,53.51,0.0,302880.6559,121220.5827,236036.0782,994893.2,0.0,335916.0784,89980.172,221864.2851
101.06,139.38,105061.0,1.65,17.6,17.6,25890.56,50593.04,1168241.95,0.194933,0.08,326.9334,413925.9,0.0906,164830.0,2826766.6265,164830.0033,458053.4414,46.7,0.0,264386.5923,105814.2742,206037.5041,868449.07,0.0,293223.4381,78544.3064,193666.8492
115.82,159.75,120412.0,1.89,20.18,20.18,29672.9,50593.04,1338909.86,0.194933,0.09,374.695,474395.54,0.0906,188910.0,3232336.5011,188909.9398,524970.2501,53.53,0.0,303010.7034,121272.631,236137.4248,995320.38,0.0,336060.3103,90018.8067,221959.5468
115.87,159.82,120464.5,1.89,20.18,20.18,29685.64,50593.04,1339484.5,0.194933,0.09,374.8558,474599.64,0.0906,188991.0,3233702.0562,188991.017,525195.5593,53.55,0.0,303140.7509,121324.6794,236238.7713,995747.55,0.0,336204.5422,90057.4413,222054.8084
115.92,159.88,120512.0,1.89,20.19,20.19,29698.37,50593.04,1340059.14,0.194933,0.09,375.0166,474802.81,0.0906,189072.0,3235067.6114,189072.0943,525420.8684,53.57,0.0,303270.7984,121376.7277,236340.1178,996174.73,0.0,336348.7741,90096.076,222150.07
115.97,159.95,120564.5,1.89,20.2,20.2,29711.11,50593.04,1340633.78,0.194933,0.09,375.1774,475006.91,0.0906,189153.0,3236433.1665,189153.1715,525646.1775,53.6,0.0,303400.8459,121428.776,236441.4644,996601.9,0.0,336493.006,90134.7107,222245.3316
116.02,160.02,120617.0,1.89,20.21,20.21,29723.84,50593.04,1341208.42,0.194933,0.09,375.3382,475210.08,0.0906,189234.0,3237798.7216,189234.2487,525871.4866,53.62,0.0,303530.8934,121480.8244,236542.8109,997029.08,0.0,336637.2379,90173.3454,222340.5932
116.07,160.09,120669.5,1.89,20.22,20.22,29736.58,50593.04,1341783.06,0.194933,0.09,375.499,475413.25,0.0906,189315.0,3239164.2768,189315.3259,526096.7957,53.64,0.0,303660.9409,121532.8727,236644.1574,997456.26,0.0,336781.4698,90211.9801,222435.8548
116.12,160.16,120722.0,1.89,20.23,20.23,29749.31,50593.04,1342357.7,0.194933,0.09,375.6599,475617.35,0.0906,189396.0,3240529.8319,189396.4032,526322.1049,53.67,0.0,303790.9884,121584.9211,236745.504,997883.43,0.0,336925.7017,90250.6147,222531.1164
116.17,160.23,120774.5,1.89,20.24,20.24,29762.05,50593.04,1342932.34,0.194933,0.09,375.8207,475820.51,0.0906,189477.0,3241895.387,189477.4804,526547.414,53.69,0.0,303921.036,121636.9694,236846.8505,998310.61,0.0,337069.9336,90289.2494,222626.378
116.22,160.3,120827.0,1.89,20.24,20.24,29774.78,50593.04,1343506.98,0.194933,0.09,375.9815,476024.62,0.0906,189559.0,3243260.9422,189558.5576,526772.7231,53.71,0.0,304051.0835,121689.0177,236948.197,998737.78,0.0,337214.1655,90327.8841,222721.6396
116.27,160.36,120874.5,1.89,20.25,20.25,29787.52,50593.04,1344081.62,0.194933,0.09,376.1423,476227.78,0.0906,189640.0,3244626.4973,189639.6349,526998.0322,53.73,0.0,304181.131,121741.0661,237049.5436,999164.96,0.0,337358.3974,90366.5188,222816.9012
101.11,139.45,105113.5,1.65,17.61,17.61,25903.3,50593.04,1168816.59,0.194933,0.08,327.0942,414129.07,0.0906,164911.0,2828132.1816,164911.0805,458278.7505,46.73,0.0,264516.6398,105866.3225,206138.8506,868876.24,0.0,293367.67,78582.9411,193762.1108
116.32,160.43,120927.0,1.89,20.26,20.26,29800.25,50593.04,1344656.26,0.194933,0.09,376.3031,476431.89,0.0906,189721.0,3245992.0524,189720.7121,527223.3413,53.76,0.0,304311.1785,121793.1144,237150.8901,999592.14,0.0,337502.6292,90405.1535,222912.1628
116.37,160.5,120979.5,1.89,20.27,20.27,29812.99,50593.04,1345230.89,0.194933,0.09,376.4639,476635.05,0.0906,189802.0,3247357.6076,189801.7893,527448.6505,53.78,0.0,304441.226,121845.1627,237252.2366,1000019.31,0.0,337646.8611,90443.7881,223007.4244
116.42,160.57,121032.0,1.9,20.28,20.28,29825.72,50593.04,1345805.53,0.194933,0.09,376.6247,476839.16,0.0906,189883.0,3248723.1627,189882.8665,527673.9596,53.8,0.0,304571.2735,121897.2111,237353.5832,1000446.49,0.0,337791.093,90482.4228,223102.6861
116.47,160.64,121084.5,1.9,20.29,20.29,29838.46,50593.04,1346380.17,0.194933,0.09,376.7856,477042.32,0.0906,189964.0,3250088.7178,189963.9438,527899.2687,53.83,0.0,304701.321,121949.2594,237454.9297,1000873.67,0.0,337935.3249,90521.0575,223197.9477
116.52,160.71,121137.0,1.9,20.3,20.3,29851.19,50593.04,1346954.81,0.194933,0.09,376.9464,477246.42,0.0906,190045.0,3251454.273,190045.021,528124.5778,53.85,0.0,304831.3685,122001.3078,237556.2762,1001300.84,0.0,338079.5568,90559.6922,223293.2093
116.56,160.78,121186.0,1.9,20.3,20.3,29863.93,50593.04,1347529.45,0.194933,0.09,377.1072,477449.59,0.0906,190126.0,3252819.8281,190126.0982,528349.8869,53.87,0.0,304961.4161,122053.3561,237657.6228,1001728.02,0.0,338223.7887,90598.3269,223388.4709
116.61,160.84,121233.5,1.9,20.31,20.31,29876.66,50593.04,1348104.09,0.194933,0.09,377.268,477653.69,0.0906,190207.0,3254185.3832,190207.1755,528575.1961,53.9,0.0,305091.4636,122105.4044,237758.9693,1002155.19,0.0,338368.0206,90636.9616,223483.7325
116.66,160.91,121286.0,1.9,20.32,20.32,29889.4,50593.04,1348678.73,0.194933,0.09,377.4288,477856.86,0.0906,190288.0,3255550.9384,190288.2527,528800.5052,53.92,0.0,305221.5111,122157.4528,237860.3158,1002582.37,0.0,338512.2525,90675.5962,223578.9941
116.71,160.98,121338.5,1.9,20.33,20.33,29902.14,50593.04,1349253.37,0.194933,0.09,377.5896,478060.96,0.0906,190369.0,3256916.4935,190369.3299,529025.8143,53.94,0.0,305351.5586,122209.5011,237961.6624,1003009.55,0.0,338656.4844,90714.2309,223674.2557
116.76,161.05,121391.0,1.9,20.34,20.34,29914.87,50593.04,1349828.01,0.194933,0.09,377.7504,478264.13,0.0906,190450.0,3258282.0487,190450.4071,529251.1234,53.96,0.0,305481.6061,122261.5495,238063.0089,1003436.72,0.0,338800.7163,90752.8656,223769.5173
101.16,139.52,105166.0,1.65,17.62,17.62,25916.03,50593.04,1169391.23,0.194933,0.08,327.2551,414332.23,0.0906,164992.0,2829497.7367,164992.1577,458504.0597,46.75,0.0,264646.6873,105918.3709,206240.1972,869303.42,0.0,293511.9019,78621.5758,193857.3724
116.81,161.12,121443.5,1.9,20.35,20.35,29927.61,50593.04,1350402.65,0.194933,0.09,377.9112,478467.3,0.0906,190531.0,3259647.6038,190531.4844,529476.4325,53.99,0.0,305611.6536,122313.5978,238164.3554,1003863.9,0.0,338944.9482,90791.5003,223864.7789
116.86,161.19,121496.0,1.9,20.36,20.36,29940.34,50593.04,1350977.29,0.194933,0.09,378.0721,478671.4,0.0906,190613.0,3261013.1589,190612.5616,529701.7417,54.01,0.0,305741.7011,122365.6461,238265.702,1004291.07,0.0,339089.1801,90830.135,223960.0405
116.91,161.26,121548.5,1.9,20.37,20.37,29953.08,50593.04,1351551.93,0.194933,0.09,378.2329,478874.57,0.0906,190694.0,3262378.7141,190693.6388,529927.0508,54.03,0.0,305871.7486,122417.6945,238367.0485,1004718.25,0.0,339233.412,90868.7696,224055.3021
116.96,161.32,121596.0,1.9,20.37,20.37,29965.81,50593.04,1352126.57,0.194933,0.09,378.3937,479078.67,0.0906,190775.0,3263744.2692,190774.716,530152.3599,54.06,0.0,306001.7962,122469.7428,238468.3951,1005145.43,0.0,339377.6439,90907.4043,224150.5637
117.01,161.39,121648.5,1.91,20.38,20.38,29978.55,50593.04,1352701.21,0.194933,0.09,378.5545,479281.83,0.0906,190856.0,3265109.8243,190855.7933,530377.669,54.08,0.0,306131.8437,122521.7912,238569.7416,1005572.6,0.0,339521.8757,90946.039,224245.8253
117.06,161.46,121701.0,1.91,20.39,20.39,29991.28,50593.04,1353275.85,0.194933,0.09,378.7153,479485.94,0.0906,190937.0,3266475.3795,190936.8705,530602.9781,54.1,0.0,306261.8912,122573.8395,238671.0881,1005999.78,0.0,339666.1076,90984.6737,224341.087
117.11,161.53,121753.5,1.91,20.4,20.4,30004.02,50593.04,1353850.49,0.194933,0.09,378.8761,479689.1,0.0906,191018.0,3267840.9346,191017.9477,530828.2873,54.13,0.0,306391.9387,122625.8878,238772.4347,1006426.95,0.0,339810.3395,91023.3084,224436.3486
117.16,161.6,121806.0,1.91,20.41,20.41,30016.75,50593.04,1354425.13,0.194933,0.09,379.0369,479893.21,0.0906,191099.0,3269206.4897,191099.025,531053.5964,54.15,0.0,306521.9862,122677.9362,238873.7812,1006854.13,0.0,339954.5714,91061.943,224531.6102
117.21,161.67,121858.5,1.91,20.42,20.42,30029.49,50593.04,1354999.76,0.194933,0.09,379.1978,480096.37,0.0906,191180.0,3270572.0449,191180.1022,531278.9055,54.17,0.0,306652.0337,122729.9845,238975.1277,1007281.31,0.0,340098.8033,91100.5777,224626.8718
117.26,161.74,121911.0,1.91,20.43,20.43,30042.22,50593.04,1355574.4,0.194933,0.09,379.3586,480300.48,0.0906,191261.0,3271937.6,191261.1794,531504.2146,54.19,0.0,306782.0812,122782.0329,239076.4743,1007708.48,0.0,340243.0352,91139.2124,224722.1334
101.21,139.59,105218.5,1.65,17.63,17.63,25928.77,50593.04,1169965.87,0.194933,0.08,327.4159,414536.34,0.0906,165073.0,2830863.2919,165073.235,458729.3688,46.77,0.0,264776.7348,105970.4192,206341.5437,869730.59,0.0,293656.1338,78660.2105,193952.634
117.31,161.8,121958.5,1.91,20.43,20.43,30054.96,50593.04,1356149.04,0.194933,0.09,379.5194,480503.64,0.0906,191342.0,3273303.1551,191342.2566,531729.5237,54.22,0.0,306912.1287,122834.0812,239177.8208,1008135.66,0.0,340387.2671,91177.8471,224817.395
117.36,161.87,122011.0,1.91,20.44,20.44,30067.69,50593.04,1356723.68,0.194933,0.09,379.6802,480707.74,0.0906,191423.0,3274668.7103,191423.3339,531954.8329,54.24,0.0,307042.1763,122886.1295,239279.1673,1008562.84,0.0,340531.499,91216.4818,224912.6566
117.41,161.94,122063.5,1.91,20.45,20.45,30080.43,50593.04,1357298.32,0.194933,0.09,379.841,480910.91,0.0906,191504.0,3276034.2654,191504.4111,532180.142,54.26,0.0,307172.2238,122938.1779,239380.5139,1008990.01,0.0,340675.7309,91255.1164,225007.9182
117.46,162.01,122116.0,1.91,20.46,20.46,30093.16,50593.04,1357872.96,0.194933,0.09,380.0018,481115.01,0.0906,191585.0,3277399.8205,191585.4883,532405.4511,54.29,0.0,307302.2713,122990.2262,239481.8604,1009417.19,0.0,340819.9628,91293.7511,225103.1798
117.51,162.08,122168.5,1.91,20.47,20.47,30105.9,50593.04,1358447.6,0.194933,0.09,380.1626,481318.18,0.0906,191667.0,3278765.3757,191666.5655,532630.7602,54.31,0.0,307432.3188,123042.2746,239583.2069,1009844.36,0.0,340964.1947,91332.3858,225198.4414
117.56,162.15,122221.0,1.91,20.48,20.48,30118.63,50593.04,1359022.24,0.194933,0.09,380.3234,481521.35,0.0906,191748.0,3280130.9308,191747.6428,532856.0693,54.33,0.0,307562.3663,123094.3229,239684.5535,1010271.54,0.0,341108.4266,91371.0205,225293.703
117.61,162.22,122273.5,1.91,20.49,20.49,30131.37,50593.04,1359596.88,0.194933,0.09,380.4843,481725.45,0.0906,191829.0,3281496.4859,191828.72,533081.3785,54.36,0.0,307692.4138,123146.3712,239785.9,1010698.72,0.0,341252.6585,91409.6552,225388.9646
117.66,162.28,122321.0,1.92,20.5,20.5,30144.1,50593.04,1360171.52,0.194933,0.09,380.6451,481928.62,0.0906,191910.0,3282862.0411,191909.7972,533306.6876,54.38,0.0,307822.4613,123198.4196,239887.2465,1011125.89,0.0,341396.8904,91448.2899,225484.2263
117.71,162.35,122373.5,1.92,20.5,20.5,30156.84,50593.04,1360746.16,0.194933,0.09,380.8059,482132.72,0.0906,191991.0,3284227.5962,191990.8745,533531.9967,54.4,0.0,307952.5088,123250.4679,239988.5931,1011553.07,0.0,341541.1222,91486.9245,225579.4879
117.76,162.42,122426.0,1.92,20.51,20.51,30169.57,50593.04,1361320.8,0.194933,0.09,380.9667,482335.89,0.0906,192072.0,3285593.1513,192071.9517,533757.3058,54.42,0.0,308082.5564,123302.5163,240089.9396,1011980.24,0.0,341685.3541,91525.5592,225674.7495
101.25,139.66,105267.5,1.65,17.64,17.64,25941.5,50593.04,1170540.51,0.194933,0.08,327.5767,414739.5,0.0906,165154.0,2832228.847,165154.3122,458954.6779,46.8,0.0,264906.7823,106022.4675,206442.8902,870157.77,0.0,293800.3657,78698.8451,194047.8956
117.81,162.49,122478.5,1.92,20.52,20.52,30182.31,50593.04,1361895.44,0.194933,0.09,381.1275,482539.99,0.0906,192153.0,3286958.7065,192153.0289,533982.6149,54.45,0.0,308212.6039,123354.5646,240191.2861,1012407.42,0.0,341829.586,91564.1939,225770.0111
117.86,162.56,122531.0,1.92,20.53,20.53,30195.04,50593.04,1362470.08,0.194933,0.09,381.2883,482743.15,0.0906,192234.0,3288324.2616,192234.1061,534207.9241,54.47,0.0,308342.6514,123406.6129,240292.6327,1012834.6,0.0,341973.8179,91602.8286,225865.2727
117.91,162.63,122583.5,1.92,20.54,20.54,30207.78,50593.04,1363044.72,0.194933,0.09,381.4491,482947.26,0.0906,192315.0,3289689.8167,192315.1834,534433.2332,54.49,0.0,308472.6989,123458.6613,240393.9792,1013261.77,0.0,342118.0498,91641.4633,225960.5343
117.96,162.7,122636.0,1.92,20.55,20.55,30220.51,50593.04,1363619.36,0.194933,0.09,381.61,483150.42,0.0906,192396.0,3291055.3719,192396.2606,534658.5423,54.52,0.0,308602.7464,123510.7096,240495.3257,1013688.95,0.0,342262.2817,91680.0979,226055.7959
118.01,162.76,122683.5,1.92,20.56,20.56,30233.25,50593.04,1364194.0,0.194933,0.09,381.7708,483354.53,0.0906,192477.0,3292420.927,192477.3378,534883.8514,54.54,0.0,308732.7939,123562.758,240596.6723,1014116.13,0.0,342406.5136,91718.7326,226151.0575
